,Unnamed: 0.1,IRA_Alta,Influenza,Neumonia,Bronquitis_bronquiolitis,Crisis_obstructiva_bronquial,Otra_causa_respiratoria,CAUSAS_SISTEMA_RESPIRATORIO,COVID19_Confirmado_u,COVID19_Confirmado_h,Humedad,Rocio,Temperatura,Temperatura_min,Temperatura_max,MP10,MP2.5
34,34.0,149.0,3.0,10.0,66.0,34.0,14.0,15.0,0.0,0.0,69.1,10.0,16.3,11.1,25.8,39.4,15.2
35,35.0,154.0,8.0,17.0,80.0,42.0,17.0,20.0,0.0,0.0,59.4,6.3,15.7,10.0,23.1,43.4,13.5
36,36.0,194.0,2.0,19.0,70.0,41.0,13.0,12.0,0.0,0.0,67.2,8.0,14.9,9.3,23.2,35.2,14.8
37,37.0,179.0,12.0,18.0,72.0,49.0,10.0,15.0,0.0,0.0,69.9,8.5,14.4,9.7,23.1,33.3,15.2
38,38.0,153.0,13.0,21.0,64.0,40.0,10.0,14.0,0.0,0.0,67.3,9.7,16.6,11.6,23.5,43.0,14.3
39,39.0,155.0,13.0,12.0,81.0,41.0,17.0,10.0,0.0,0.0,61.6,8.3,16.7,10.9,26.8,47.2,15.9
40,40.0,194.0,7.0,16.0,62.0,24.0,16.0,8.0,0.0,0.0,62.9,7.9,15.9,9.6,25.7,44.4,16.0
41,41.0,150.0,1.0,3.0,71.0,32.0,13.0,9.0,0.0,0.0,66.9,9.0,15.9,10.5,25.2,42.3,14.0
42,42.0,131.0,2.0,19.0,48.0,27.0,11.0,10.0,0.0,0.0,71.3,9.2,14.8,10.2,23.3,32.7,13.0
86,86.0,97.0,3.0,20.0,56.0,29.0,21.0,20.0,0.0,0.0,67.5,9.3,15.7,11.5,23.5,40.1,14.2
87,87.0,113.0,16.0,15.0,67.0,51.0,13.0,9.0,0.0,0.0,70.0,7.5,13.7,9.4,21.9,48.8,17.4
88,88.0,114.0,11.0,8.0,60.0,34.0,21.0,9.0,0.0,0.0,67.8,8.1,14.6,10.5,21.4,35.5,12.9
89,89.0,96.0,8.0,10.0,51.0,38.0,19.0,12.0,0.0,0.0,62.1,7.7,16.2,9.4,25.5,54.9,17.4
90,90.0,71.0,5.0,13.0,40.0,32.0,19.0,12.0,0.0,0.0,70.4,9.9,15.8,11.0,24.3,39.8,11.8
91,91.0,100.0,3.0,8.0,42.0,26.0,16.0,9.0,0.0,0.0,68.6,9.5,15.7,11.4,22.1,63.8,17.3
92,92.0,94.0,1.0,5.0,50.0,25.0,22.0,13.0,0.0,0.0,59.8,7.5,16.7,11.8,24.4,54.5,13.0
93,93.0,93.0,0.0,15.0,58.0,29.0,17.0,12.0,0.0,0.0,66.4,7.9,15.0,9.3,23.9,42.3,10.8
94,94.0,118.0,7.0,5.0,50.0,18.0,17.0,7.0,0.0,0.0,68.8,9.4,15.8,10.0,24.9,47.7,12.7
138,138.0,324.0,84.0,15.0,148.0,34.0,17.0,13.0,0.0,0.0,71.3,10.3,16.0,11.7,24.1,53.1,14.7
139,139.0,246.0,13.0,25.0,117.0,39.0,24.0,23.0,0.0,0.0,73.6,7.3,12.4,7.7,19.8,35.4,9.1
140,140.0,170.0,15.0,14.0,121.0,35.0,19.0,16.0,0.0,0.0,69.0,7.5,13.8,9.6,22.4,36.8,9.1
141,141.0,135.0,9.0,7.0,81.0,20.0,16.0,12.0,0.0,0.0,64.6,6.5,14.0,8.3,22.8,33.3,10.7
142,142.0,124.0,5.0,12.0,78.0,24.0,16.0,16.0,0.0,0.0,67.7,8.2,14.7,9.9,22.6,31.7,8.6
143,143.0,111.0,11.0,18.0,63.0,21.0,24.0,18.0,0.0,0.0,62.2,7.3,16.3,11.2,24.6,39.3,9.0
144,144.0,127.0,8.0,12.0,87.0,32.0,17.0,21.0,0.0,0.0,65.5,9.0,16.1,11.3,24.5,39.5,12.5
145,145.0,113.0,4.0,11.0,95.0,26.0,14.0,12.0,0.0,0.0,65.0,7.9,15.2,10.0,23.8,35.8,8.8
146,146.0,143.0,4.0,12.0,70.0,28.0,20.0,16.0,0.0,0.0,64.9,8.9,16.4,10.4,25.6,47.6,13.1
190,190.0,28.0,13.0,7.0,2.0,10.0,5.0,6.0,11.0,4.0,69.8,10.3,16.6,11.4,26.0,26.6,10.0
191,191.0,25.0,10.0,3.0,1.0,8.0,5.0,3.0,12.0,6.0,66.0,7.5,14.5,9.0,22.2,29.7,15.9
192,192.0,28.0,23.0,5.0,1.0,11.0,8.0,5.0,9.0,4.0,63.8,8.1,15.7,9.3,24.6,23.0,11.9
193,193.0,22.0,4.0,4.0,1.0,4.0,2.0,5.0,14.0,8.0,63.6,8.0,16.0,9.8,25.3,22.9,15.1
194,194.0,49.0,6.0,4.0,1.0,8.0,9.0,10.0,4.0,2.0,67.6,9.7,16.3,11.3,25.2,22.2,11.3
195,195.0,40.0,10.0,3.0,1.0,3.0,8.0,5.0,4.0,3.0,65.5,7.7,15.6,10.6,22.3,18.3,9.9
196,196.0,43.0,2.0,7.0,2.0,8.0,10.0,10.0,4.0,4.0,68.0,9.3,16.0,11.6,25.8,31.6,15.0
197,197.0,61.0,6.0,13.0,1.0,7.0,6.0,15.0,8.0,3.0,67.8,9.6,16.1,11.4,24.1,17.8,8.0
198,198.0,62.0,7.0,6.0,1.0,7.0,12.0,6.0,7.0,3.0,66.9,9.2,15.8,12.5,23.2,26.4,9.7
243,243.0,53.0,2.0,10.0,9.0,9.0,14.0,12.0,3.0,3.0,61.8,8.7,17.1,11.2,28.2,29.6,10.8
244,244.0,43.0,3.0,5.0,5.0,9.0,10.0,3.0,2.0,1.0,65.5,8.5,15.7,10.3,25.0,30.8,10.7
245,245.0,34.0,0.0,4.0,6.0,9.0,6.0,4.0,5.0,5.0,65.8,9.0,16.2,11.0,25.8,33.6,12.9
246,246.0,62.0,2.0,5.0,15.0,13.0,8.0,5.0,2.0,0.0,68.5,8.7,15.1,9.5,23.4,33.4,12.1
247,247.0,39.0,0.0,4.0,7.0,13.0,15.0,10.0,4.0,3.0,62.6,9.5,17.6,13.0,27.0,33.8,11.6
248,248.0,52.0,0.0,4.0,12.0,11.0,12.0,5.0,2.0,0.0,66.5,9.7,16.8,12.0,26.4,30.3,11.0
249,249.0,44.0,0.0,1.0,19.0,9.0,9.0,10.0,2.0,1.0,62.4,9.2,17.1,12.6,25.3,32.0,11.3
250,250.0,54.0,0.0,8.0,17.0,15.0,15.0,13.0,3.0,2.0,67.4,10.5,17.4,11.9,26.7,30.4,11.2
251,251.0,61.0,3.0,3.0,18.0,16.0,5.0,8.0,10.0,2.0,68.2,8.2,14.6,9.3,23.0,23.7,8.7
